order_number_idealo,order_number_shop,created_at,processed_at,status,currency,total_price_with_shipping,total_price_without_shipping,total_shipping,customer_email,customer_phone,shipping_address_address1,shipping_address_address2,shipping_address_city,shipping_address_country,shipping_address_given_name,shipping_address_family_name,shipping_address_zip,shipping_address_salutation,billing_address_address1,billing_address_address2,billing_address_city,billing_address_country,billing_address_given_name,billing_address_family_name,billing_address_zip,billing_address_salutation,fulfillment_carrier,fulfillment_type,fulfillment_transaction_code,fulfillment_options,payment_method,payment_transaction_id,merchant_id,merchant_name,total_item_price,item_price,former_price,price_range_amount,quantity,sku,title,delivery_time,voucher_code,refund_ids,refund_amounts,refund_statuses
J3LJKVMJ,J3LJKVMJ Idealo,17.02.2022 15:16,17.02.2022 15:18,COMPLETED,EUR,3189,2699,490,m-65isbsojsu9p7yyv@checkout.idealo.de,,Stromstraße 8,,München,DE,Harald,Helfer,66115,MR,Stromstraße 8,,München,DE,Harald,Helfer,66115,MR,dhl-germany,POSTAL,00340434650583316908,,PAYPAL,43V4531947140334U,,,2699,2699,,,1,MB-FFG-FFGD1110,Arkham Horror: Das Kartenspiel - Der Pfad nach Carcosa [Erweiterung],1 - 3 Werktage,,,,
VVG7ZLGV,VVG7ZLGV Idealo,16.02.2022 8:43,16.02.2022 8:43,REVOKED,EUR,5214,4724,490,m-p5pfnyuo9qoib20s@checkout.idealo.de,,Ankogelweg 46a,,Münster,DE,Holli,Karle,12107,MR,Ankogelweg 46a,,Münster,DE,Holli,Karle,12107,MR,,POSTAL,,,PAYPAL,4X648397FG741582R,,,4724,4724,,,1,MB-EGS-D0005,Great Western Trail (2. Edition),319 - 321 Werktage,,null,5214,SUCCESS
54597JPQ,54597JPQ Idealo,16.02.2022 8:34,16.02.2022 8:36,REVOKED,EUR,4489,3999,490,m-65is7soj3hpjnyyv@checkout.idealo.de,,Ankogelweg 46a,,München,DE,Norbert,Peters,12107,MR,Ankogelweg 46a,,München,DE,Norbert,Peters,12107,MR,,POSTAL,,,PAYPAL,00588349BF137281U,,,3999,3999,,,1,MB-DLG-08010,Praga Caput Regni,90 - 92 Werktage,,null,4489,SUCCESS
747395V7,747395V7 Idealo,15.02.2022 20:02,15.02.2022 20:03,COMPLETED,EUR,2289,1799,490,m-yemu7d8iums9n6su@checkout.idealo.de,,Dorfstrasse 26,,Oberreitnau,DE,Michaela,Müller,88527,MR,Dorfstrasse 26,,Oberreitnau,DE,Michaela,Müller,88527,MR,dhl-germany,POSTAL,00340434650583316809,,PAYPAL,1C4788653G547750T,,,1799,1799,,,1,MB-PGS-55116G,Istanbul: Mokka & Bakschisch [1. Erweiterung],1 - 3 Werktage,,,,
DM7GLGV2,DM7GLGV2 Idealo,15.02.2022 17:21,15.02.2022 17:22,COMPLETED,EUR,6297,6297,0,m-s5iubu6j34yu7yyv@checkout.idealo.de,,"Johannesstraße, 88",,Buchenberg,DE,Karsten,Musterman,99084,MRS,"Johannesstraße, 88",,Buchenberg,DE,Karsten,Musterman,99084,MRS,dhl-germany,POSTAL,00340434650583316953,,PAYPAL,77A22634AH5580326,,,6297,2099,,,3,MB-LOG-D0008,Patchwork,1 - 3 Werktage,,null,3708,SUCCESS
WGLYRWW3,WGLYRWW3 Idealo,15.02.2022 12:37,15.02.2022 12:37,COMPLETED,EUR,2089,1599,490,m-ucdj74ui0usyndhh@checkout.idealo.de,,Im Klüschgarten 8,,Bamberg,DE,Christian,Mustermann,41812,MR,Im Klüschgarten 8,,Bamberg,DE,Christian,Mustermann,41812,MR,dhl-germany,POSTAL,00340434650583316717,,PAYPAL,99G46522HK232262T,,,1599,1599,,,1,MB-NIC-JVHDE,Jekyll vs. Hyde,1 - 3 Werktage,,,,
3VJ42NM5,3VJ42NM5 Idealo,14.02.2022 18:42,14.02.2022 18:43,COMPLETED,EUR,2089,1599,490,m-65is7sojvusonyyv@checkout.idealo.de,,Varusstr.8,,Gelsenkirchen,DE,Christine,Heine,44149,MRS,Varusstr.8,,Gelsenkirchen,DE,Christine,Heine,44149,MRS,dhl-germany,POSTAL,00340434650583316663,,PAYPAL,1CA47777SJ217493F,,,1599,1599,,,1,MB-NIC-JVHDE,Jekyll vs. Hyde,1 - 3 Werktage,,,,
P2PMY8L7,P2PMY8L7 Idealo,14.02.2022 16:59,14.02.2022 17:00,REVOKED,EUR,4268,3778,490,m-s5i2nw6jv8dwbuuv@checkout.idealo.de,,Hauptstr. 11,,Paris,DE,Daniel,Klasse,13127,MR,Hauptstr. 11,,Paris,DE,Daniel,Klasse,13127,MR,,POSTAL,,,PAYPAL,4HM86235H3996682Y,,,3778,1889,,,2,MB-RPO-D0028,So Kleever!,61 - 63 Werktage,,null,4268,SUCCESS
5459KERL,5459KERL Idealo,14.02.2022 16:28,14.02.2022 16:28,COMPLETED,EUR,2389,1899,490,m-4xjyno0i49m9bvhw@checkout.idealo.de,,Hasenbrink 14,,Bern,DE,Susanne,Gunter,32052,MRS,Hasenbrink 14,,Bern,DE,Susanne,Gunter,32052,MRS,dhl-germany,POSTAL,00340434650583316649,,PAYPAL,2CY836659D345250S,,,1899,1899,,,1,MB-PGS-59060G,MicroMacro: Crime City (inkl. Promo) [1. Teil],1 - 3 Werktage,,,,
GV8M8P4W,GV8M8P4W Idealo,14.02.2022 9:36,14.02.2022 9:37,COMPLETED,EUR,1789,1299,490,m-8eimbm0paiwo7si0@checkout.idealo.de,,Oderstraße 25,,Insbruck,DE,Stefan,Gebhard,44287,MR,Keltenstr. 21,,Insbruck,DE,Stefan,Gebhard,41462,MR,dhl-germany,POSTAL,00340434650583316564,,PAYPAL,1YE16263AC241435B,,,1299,1299,,,1,MB-KMS-680503,EXIT: Das Spiel - Die Rückkehr in die verlassene Hütte,1 - 3 Werktage,,,,
R4Y5QDQJ,R4Y5QDQJ Idealo,12.02.2022 11:50,12.02.2022 11:51,COMPLETED,EUR,2540,2050,490,m-s5i27w6piaiunuuv@checkout.idealo.de,,"Albert-Einstein-Straße, 4",,Tettnang,DE,Claudia,Hansen,99097,MRS,"Albert-Einstein-Straße, 4",,Tettnang,DE,Claudia,Hansen,99097,MRS,dhl-germany,POSTAL,00340434493420167994,,PAYPAL,3V501533K7671932K,,,2050,2050,,,1,MB-PMB-9223,Ghostbusters: Venkman und Terror Dogs (9223),1 - 3 Werktage,,,,
LPVEJVR3,LPVEJVR3 Idealo,12.02.2022 11:04,12.02.2022 11:04,COMPLETED,EUR,2189,1699,490,m-8eimbm0p2hwq7si0@checkout.idealo.de,,"Reichauer Str., 2 1/2",,München,DE,Gutrun,Haser,87737,MR,"Reichauer Str., 2 1/2",,München,DE,Gutrun,Haser,87737,MR,dhl-germany,POSTAL,00340434650583316397,,PAYPAL,762278110A2914504,,,1699,1699,,,1,MB-NIC-BOE1,Kluster,1 - 3 Werktage,,,,
ELYMKYW3,ELYMKYW3 Idealo,12.02.2022 11:02,12.02.2022 11:02,COMPLETED,EUR,2089,1599,490,m-vrmana3jm4z2b8w4@checkout.idealo.de,,Tyrolsberger Straße 16a,,München,DE,Herbert,Hollig,92318,MR,Tyrolsberger Straße 16a,,München,DE,Herbert,Hollig,92318,MR,dhl-germany,POSTAL,00340434650583316403,,PAYPAL,5YD17022UN3013407,,,1599,1599,,,1,MB-NIC-JVHDE,Jekyll vs. Hyde,1 - 3 Werktage,,,,
WGLYY5L5,WGLYY5L5 Idealo,11.02.2022 18:26,11.02.2022 18:27,COMPLETED,EUR,2274,1784,490,m-h5jfb36pioph7h0a@checkout.idealo.de,,Meisengrund  3,,Münster,DE,Hans,Mücke,33142,MRS,Meisengrund  3,,Münster,DE,Hans,Mücke,33142,MRS,dhl-germany,POSTAL,00340434650583316373,,PAYPAL,7J424454G9836725W,,,1784,1784,,,1,MB-BGC-1634-833,CuBirds,1 - 3 Werktage,,,,
LPVEW7E3,LPVEW7E3 Idealo,11.02.2022 10:46,11.02.2022 10:47,COMPLETED,EUR,2689,2199,490,m-0rdm79ujoi2ynovv@checkout.idealo.de,,Dorfstrasse 12,,München,DE,Jörg,Marta,57271,MR,Dorfstrasse 12,,München,DE,Jörg,Marta,57271,MR,dhl-germany,POSTAL,00340434650583317080,,PAYPAL,9SL9619025446902R,,,2199,2199,,,1,MB-FRJ-20103301,Can't Stop,173 - 175 Werktage,,,,
89YW9QDN,89YW9QDN Idealo,10.02.2022 14:46,10.02.2022 14:47,COMPLETED,EUR,3639,3149,490,m-zcif7f8pidshnwo6@checkout.idealo.de,,Rehweiherstrasse 23,,Oberreitnau,DE,Perter,Merlin,91056,MRS,Rehweiherstrasse 23,,Oberreitnau,DE,Perter,Merlin,91056,MRS,dhl-germany,POSTAL,00340434650583316175,,PAYPAL,27A29657L53651337,,,3149,3149,,,1,MB-SLG-48000401,Cryptid,1 - 3 Werktage,,,,
NM3VZKZ5,NM3VZKZ5 Idealo,09.02.2022 20:19,09.02.2022 20:19,COMPLETED,EUR,5699,5699,0,m-8eim7m0ppojjnsi0@checkout.idealo.de,,Thurnerstr 77,,Buchenberg,DE,Neter,Moser,51069,MR,Thurnerstr 77,,Buchenberg,DE,Neter,Moser,51069,MR,dhl-germany,POSTAL,00340434650583315970,,PAYPAL,6TG12611XK5821936,,,5699,5699,,,1,MB-FEU-63569,Wasserkraft,1 - 3 Werktage,,,,
QK7M3ZJY,QK7M3ZJY Idealo,09.02.2022 18:34,09.02.2022 18:35,PROCESSING,EUR,2484,1994,490,m-65is7sopp63vnyyv@checkout.idealo.de,,Damaschkeweg 10a,,Bamberg,DE,Anton,Patrick,24113,MR,Damaschkeweg 10a,,Bamberg,DE,Anton,Patrick,24113,MR,,POSTAL,,,PAYPAL,0D693960KY008364H,,,1994,1994,,,1,MB-CTL-D0008,Top Ten,7 - 9 Werktage,,,,
54598QDZ,54598QDZ Idealo,09.02.2022 13:49,09.02.2022 13:50,COMPLETED,EUR,2169,1679,490,m-4xjybi0pp4967vhw@checkout.idealo.de,,"Eifelstr., 3",,Gelsenkirchen,DE,Alfons,perter,63791,MRS,"Eifelstr., 3",,Gelsenkirchen,DE,Alfons,perter,63791,MRS,dhl-germany,POSTAL,00340434650583315840,,PAYPAL,2NC18344879408510,,,1679,1679,,,1,MB-BGC-1634-833,CuBirds,1 - 3 Werktage,,,,
ELYPRDL9,ELYPRDL9 Idealo,08.02.2022 19:06,08.02.2022 19:06,COMPLETED,EUR,2089,1599,490,m-dcwinvopmyiyb2vv@checkout.idealo.de,,Fichtenweg 11,,Paris,DE,Harald,Sepp,2977,MR,Fichtenweg 11,,Paris,DE,Harald,Sepp,2977,MR,dhl-germany,POSTAL,00340434650583315895,,PAYPAL,1KF79468S93005148,,,1599,1599,,,1,MB-NIC-JVHDE,Jekyll vs. Hyde,1 - 3 Werktage,,,,
25VW37R3,25VW37R3 Idealo,08.02.2022 12:48,08.02.2022 12:49,REVOKED,EUR,4589,4099,490,m-ucdjb4upypmz7dhh@checkout.idealo.de,,Ludgeristr. 15,,Bern,DE,Holli,Tanzbein,47057,MR,Ludgeristr. 15,,Bern,DE,Holli,Tanzbein,47057,MR,,POSTAL,,,PAYPAL,6G31413634438003K,,,4099,4099,,,1,MB-GFN-GF9DUN1G,Dune [Grundspiel],9 - 11 Werktage,,null,4589,SUCCESS
LPV4ZMWP,LPV4ZMWP Idealo,07.02.2022 22:57,07.02.2022 22:58,COMPLETED,EUR,9998,9998,0,m-jeif78mjw6fyn930@checkout.idealo.de,,Hundsmühlerstraße 129a,,Insbruck,DE,Moritz,Helfer,26131,MR,Hundsmühlerstraße 129a,,Insbruck,DE,Moritz,Helfer,26131,MRS,dhl-germany,POSTAL,00340434650583315673,,PAYPAL,04617871W0213722W,,,9998,4999,,,2,MB-PGS-57600G,Everdell,1 - 3 Werktage,,,,
GV8YQYGY,GV8YQYGY Idealo,07.02.2022 13:54,07.02.2022 13:55,COMPLETED,EUR,5596,5596,0,m-yemu7d8pvwhpn6su@checkout.idealo.de,,Am Schnepfenrain 21,,Tettnang,DE,Monika,Karle,63571,MRS,Am Schnepfenrain 21,,Tettnang,DE,Monika,Karle,63571,MRS,dhl-germany,POSTAL,00340434650583315642,,PAYPAL,2N472442LB322213J,,,5596,1399,,,4,MB-BGC-1634-833,CuBirds,1 - 3 Werktage,,,,
4237K2N7,4237K2N7 Idealo,07.02.2022 13:18,07.02.2022 13:19,COMPLETED,EUR,1889,1399,490,m-6kdj70opffazni36@checkout.idealo.de,,Wietheimerstr 6,,München,DE,Jürgen,Peters,33100,MR,Wietheimerstr 6,,München,DE,Jürgen,Peters,33100,MR,dhl-germany,POSTAL,00340434650583315420,,PAYPAL,6G349780HL587612S,,,1399,1399,,,1,MB-BGC-1634-833,CuBirds,1 - 3 Werktage,,,,
545Y5ER5,545Y5ER5 Idealo,06.02.2022 14:30,06.02.2022 14:31,COMPLETED,EUR,2089,1599,490,m-mrhabzmj4a007ozo@checkout.idealo.de,,Die Breite 56,,München,DE,Daniel,Müller,48531,MR,Die Breite 56,,München,DE,Daniel,Müller,48531,MR,dhl-germany,POSTAL,00340434650583315437,,PAYPAL,0M705210KV865274H,,,1599,1599,,,1,MB-NIC-JVHDE,Jekyll vs. Hyde,1 - 3 Werktage,,,,
WGLP3DQR,WGLP3DQR Idealo,06.02.2022 8:56,06.02.2022 8:57,COMPLETED,EUR,2989,2499,490,m-4xjybi0pwipa7vhw@checkout.idealo.de,,Cäcilienstraße 1,,Münster,DE,Paul,Musterman,9131,MR,Cäcilienstraße 1,,Münster,DE,Paul,Musterman,9131,MR,dhl-germany,POSTAL,00340434650583315390,,PAYPAL,48357149XC157561Y,,,2499,2499,,,1,MB-FEU-NORWEGER,Ein Fest für Odin: Die Norweger [Erweiterung],1 - 3 Werktage,,,,
VVGWMPYV,VVGWMPYV Idealo,06.02.2022 0:50,06.02.2022 0:54,PROCESSING,EUR,5326,4836,490,m-4xjybo0pw00a7vhw@checkout.idealo.de,,Eisenbahnstraße 25,,München,DE,Gutrun,Mustermann,63571,MR,Eisenbahnstraße 25,,München,DE,Gutrun,Mustermann,63571,MR,,POSTAL,,,PAYPAL,9LK49453A3078193W,,,4836,4836,,,1,MB-DWD-D0001,Dune: Imperium,70 - 72 Werktage,,,,
Y3VYPNVK,Y3VYPNVK Idealo,05.02.2022 20:56,05.02.2022 20:57,REVOKED,EUR,2839,2349,490,m-p5pf7yujhqsin20s@checkout.idealo.de,,Flemmingstrasse 33,,Oberreitnau,DE,Herbert,Heine,12555,MRS,Flemmingstrasse 33,,Oberreitnau,DE,Herbert,Heine,12555,MRS,,POSTAL,,,PAYPAL,9F714910BC773044D,,,2349,2349,,,1,MB-MBT-1721-960,Mord bei Tisch: Berghotel,70 - 72 Werktage,,null,2839,SUCCESS
LPV4GEGL,LPV4GEGL Idealo,05.02.2022 16:18,05.02.2022 16:18,REVOKED,EUR,2484,1994,490,m-jeif78mja0hqn930@checkout.idealo.de,,Hansaring 5,,Buchenberg,DE,Hans,Klasse,48155,MR,Hansaring 5,,Buchenberg,DE,Hans,Klasse,48155,MR,,POSTAL,,,PAYPAL,7Y808136NE673840J,,,1994,1994,,,1,MB-CTL-D0008,Top Ten,11 - 13 Werktage,,null,2484,SUCCESS
P2PW53RW,P2PW53RW Idealo,05.02.2022 15:47,05.02.2022 15:48,COMPLETED,EUR,2839,2349,490,m-6xfdbh9jyyi87u2m@checkout.idealo.de,,Berliner Allee 114,,Bamberg,DE,Jörg,Müller,13088,MRS,Berliner Allee 114,,Bamberg,DE,Jörg,Müller,13088,MRS,dhl-germany,POSTAL,00340434650583318766,,PAYPAL,17K63775WG7343043,,,2349,2349,,,1,MB-MBT-1721-960,Mord bei Tisch: Berghotel,70 - 72 Werktage,,,,
747RKJV7,747RKJV7 Idealo,05.02.2022 15:31,05.02.2022 15:32,COMPLETED,EUR,2819,2329,490,m-s5i2bw6pffzu7uuv@checkout.idealo.de,,Schulen Kamp 4,,Gelsenkirchen,DE,Perter,Musterman,46284,MR,Schulen Kamp 4,,Gelsenkirchen,DE,Perter,Musterman,46284,MR,dhl-germany,POSTAL,00340434650583315468,,PAYPAL,7AA98668WJ7131447,,,2329,2329,,,1,MB-PGS-51946G,Robinson Crusoe: Die Fahrt der Beagle [1. Erweiterung],1 - 3 Werktage,,,,
WGLPW4DD,WGLPW4DD Idealo,05.02.2022 9:08,05.02.2022 9:08,COMPLETED,EUR,2540,2050,490,m-dczin6up82o0b266@checkout.idealo.de,,An der Klaus 4,,Paris,DE,Neter,Mustermann,55252,MR,An der Klaus 4,,Paris,DE,Neter,Mustermann,55252,MR,dhl-germany,POSTAL,00340434493420165822,,PAYPAL,69L62300F34662626,,,2050,2050,,,1,MB-PMB-9223,Ghostbusters: Venkman und Terror Dogs (9223),1 - 3 Werktage,,,,
J3L4MNDK,J3L4MNDK Idealo,04.02.2022 17:29,04.02.2022 17:29,COMPLETED,EUR,3389,2899,490,m-4xjy7o0p8zq0nvhw@checkout.idealo.de,,Denkmalstraße 5,,Bern,DE,Anton,Heine,95448,MR,Denkmalstraße 5,,Bern,DE,Anton,Heine,95448,MR,dhl-germany,POSTAL,00340434650583315413,,PAYPAL,4CG52543UD242050P,,,2899,2899,,,1,MB-2FS-98-754,Funkenschlag (Recharged Version) [Grundspiel],1 - 3 Werktage,,,,
545YYR9M,545YYR9M Idealo,04.02.2022 11:34,04.02.2022 11:35,COMPLETED,EUR,5389,4899,490,m-6r0abj9ahop872u9@checkout.idealo.de,,Grafensteinstraße 38a,,Insbruck,DE,Alfons,Klasse,96052,MR,Grafensteinstraße 38a,,Insbruck,DE,Alfons,Klasse,96052,MR,dhl-germany,POSTAL,00340434650583315284,,PAYPAL,5BV16471WU828813H,,,4899,4899,,,1,MB-GLT-GA001,This War of Mine: Das Brettspiel,1 - 3 Werktage,,,,
ZW5229KM,ZW5229KM Idealo,04.02.2022 11:04,04.02.2022 11:04,COMPLETED,EUR,2089,1599,490,m-6r0abj9ah3a272u9@checkout.idealo.de,,Dresdner Straße 233,,Tettnang,DE,Harald,Müller,1705,MRS,Dresdner Straße 233,,Tettnang,DE,Harald,Müller,1705,MRS,dhl-germany,POSTAL,00340434650583315345,,PAYPAL,27U59081V0016570S,,,1599,1599,,,1,MB-NIC-JVHDE,Jekyll vs. Hyde,1 - 3 Werktage,,,,
J3L4G494,J3L4G494 Idealo,03.02.2022 19:35,03.02.2022 19:37,PROCESSING,EUR,5326,4836,490,m-h5jf736pdjyvnh0a@checkout.idealo.de,,Wellingsbüttler Markt 1,,München,DE,Holli,Musterman,22391,MRS,Wellingsbüttler Markt 1,,München,DE,Holli,Musterman,22391,MRS,,POSTAL,,,PAYPAL,3VX78948UN5222315,,,4836,4836,,,1,MB-DWD-DWDD0001,Dune: Imperium,72 - 74 Werktage,,,,
545YLEK7,545YLEK7 Idealo,03.02.2022 18:37,03.02.2022 18:37,COMPLETED,EUR,2089,1599,490,m-ucdj74upsfifndhh@checkout.idealo.de,,Bahnhofstr. 53,,München,DE,Gerald,Mustermann,85570,MR,Bahnhofstr. 53,,München,DE,Gerald,Mustermann,85570,MR,dhl-germany,POSTAL,00340434650583315338,,PAYPAL,2VU04606RD468331A,,,1599,1599,,,1,MB-NIC-JVHDE,Jekyll vs. Hyde,1 - 3 Werktage,,,,
DM7WVYYJ,DM7WVYYJ Idealo,03.02.2022 17:55,03.02.2022 17:55,COMPLETED,EUR,3989,3499,490,m-s5i27w6pdua9nuuv@checkout.idealo.de,,Breslauer Str. 20,,Münster,DE,Thomas,Heine,97072,MR,Breslauer Str. 20,,Münster,DE,Thomas,Heine,97072,MR,dhl-germany,POSTAL,00340434650583315260,,PAYPAL,9R235859HU660382G,,,3499,3499,,,1,MB-PGS-54544G,Heaven & Ale,1 - 3 Werktage,,,,
GV8YZ5PJ,GV8YZ5PJ Idealo,03.02.2022 16:25,03.02.2022 16:26,COMPLETED,EUR,5389,4899,490,m-ucdjn4upszhpbdhh@checkout.idealo.de,,Schröderstraße 22,,München,DE,Friederike,Klasse,18055,MRS,Schröderstraße 22,,München,DE,Friederike,Klasse,18055,MRS,dhl-germany,POSTAL,00340434650583315277,,PAYPAL,5MT14999B8269051K,,,4899,4899,,,1,MB-GLT-GA001,This War of Mine: Das Brettspiel,1 - 3 Werktage,,,,
89Y5E7Q7,89Y5E7Q7 Idealo,02.02.2022 8:21,02.02.2022 8:21,COMPLETED,EUR,1889,1399,490,m-652qnqopumodbyyv@checkout.idealo.de,,Eichenstr. 22,,Oberreitnau,DE,Michaela,Müller,86899,MRS,Eichenstr. 22,,Oberreitnau,DE,Michaela,Müller,86899,MRS,dhl-germany,POSTAL,00340434650583315208,,PAYPAL,58R884445Y0345337,,,1399,1399,,,1,MB-BGC-1634-833,CuBirds,1 - 3 Werktage,,,,
